"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de ciment (NAF rév. 2, niveau classe, poste 23.51)";"Codes"
"idBank";"010767895";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"77.58";"A"
"2025-02";"77.0";"A"
"2025-01";"73.8";"A"
"2024-12";"75.69";"A"
"2024-11";"78.07";"A"
"2024-10";"77.76";"A"
"2024-09";"79.06";"A"
"2024-08";"79.71";"A"
"2024-07";"80.68";"A"
"2024-06";"85.95";"A"
"2024-05";"73.98";"A"
"2024-04";"82.68";"A"
"2024-03";"82.69";"A"
"2024-02";"83.43";"A"
"2024-01";"82.06";"A"
"2023-12";"86.21";"A"
"2023-11";"84.36";"A"
"2023-10";"84.28";"A"
"2023-09";"85.57";"A"
"2023-08";"86.53";"A"
"2023-07";"89.26";"A"
"2023-06";"87.61";"A"
"2023-05";"89.54";"A"
"2023-04";"88.61";"A"
"2023-03";"87.34";"A"
"2023-02";"94.0";"A"
"2023-01";"95.3";"A"
"2022-12";"88.33";"A"
"2022-11";"93.23";"A"
"2022-10";"97.39";"A"
"2022-09";"90.24";"A"
"2022-08";"93.74";"A"
"2022-07";"88.54";"A"
"2022-06";"92.8";"A"
"2022-05";"97.3";"A"
"2022-04";"95.25";"A"
"2022-03";"101.75";"A"
"2022-02";"98.0";"A"
"2022-01";"100.94";"A"
"2021-12";"104.98";"A"
"2021-11";"97.97";"A"
"2021-10";"99.25";"A"
"2021-09";"101.32";"A"
"2021-08";"95.33";"A"
"2021-07";"98.47";"A"
"2021-06";"103.84";"A"
"2021-05";"98.5";"A"
"2021-04";"111.89";"A"
"2021-03";"99.2";"A"
"2021-02";"95.99";"A"
"2021-01";"93.28";"A"
"2020-12";"101.24";"A"
"2020-11";"102.93";"A"
"2020-10";"98.4";"A"
"2020-09";"102.27";"A"
"2020-08";"113.49";"A"
"2020-07";"103.44";"A"
"2020-06";"89.48";"A"
"2020-05";"87.98";"A"
"2020-04";"42.46";"A"
"2020-03";"60.63";"A"
"2020-02";"101.84";"A"
"2020-01";"103.41";"A"
"2019-12";"88.91";"A"
"2019-11";"99.47";"A"
"2019-10";"100.35";"A"
"2019-09";"97.9";"A"
"2019-08";"99.43";"A"
"2019-07";"100.06";"A"
"2019-06";"97.51";"A"
"2019-05";"103.42";"A"
"2019-04";"102.31";"A"
"2019-03";"105.34";"A"
"2019-02";"104.02";"A"
"2019-01";"100.84";"A"
"2018-12";"100.97";"A"
"2018-11";"99.65";"A"
"2018-10";"103.95";"A"
"2018-09";"105.59";"A"
"2018-08";"104.53";"A"
"2018-07";"103.68";"A"
"2018-06";"103.86";"A"
"2018-05";"100.1";"A"
"2018-04";"100.13";"A"
"2018-03";"90.99";"A"
"2018-02";"98.41";"A"
"2018-01";"98.49";"A"
"2017-12";"104.16";"A"
"2017-11";"107.89";"A"
"2017-10";"101.49";"A"
"2017-09";"98.65";"A"
"2017-08";"98.52";"A"
"2017-07";"97.96";"A"
"2017-06";"101.08";"A"
"2017-05";"101.51";"A"
"2017-04";"101.66";"A"
"2017-03";"98.45";"A"
"2017-02";"100.59";"A"
"2017-01";"79.43";"A"
"2016-12";"103.81";"A"
"2016-11";"95.85";"A"
"2016-10";"96.53";"A"
"2016-09";"99.45";"A"
"2016-08";"94.17";"A"
"2016-07";"94.7";"A"
"2016-06";"93.54";"A"
"2016-05";"91.27";"A"
"2016-04";"90.85";"A"
"2016-03";"91.64";"A"
"2016-02";"88.84";"A"
"2016-01";"94.43";"A"
"2015-12";"91.05";"A"
"2015-11";"97.05";"A"
"2015-10";"95.67";"A"
"2015-09";"94.11";"A"
"2015-08";"96.48";"A"
"2015-07";"88.44";"A"
"2015-06";"92.93";"A"
"2015-05";"94.08";"A"
"2015-04";"86.51";"A"
"2015-03";"90.07";"A"
"2015-02";"90.9";"A"
"2015-01";"89.16";"A"
"2014-12";"81.67";"A"
"2014-11";"95.7";"A"
"2014-10";"93.94";"A"
"2014-09";"92.87";"A"
"2014-08";"96.26";"A"
"2014-07";"98.5";"A"
"2014-06";"99.29";"A"
"2014-05";"98.78";"A"
"2014-04";"101.99";"A"
"2014-03";"99.54";"A"
"2014-02";"101.83";"A"
"2014-01";"94.61";"A"
"2013-12";"105.43";"A"
"2013-11";"103.43";"A"
"2013-10";"104.43";"A"
"2013-09";"104.4";"A"
"2013-08";"110.71";"A"
"2013-07";"111.24";"A"
"2013-06";"113.2";"A"
"2013-05";"97.71";"A"
"2013-04";"100.61";"A"
"2013-03";"99.92";"A"
"2013-02";"97.81";"A"
"2013-01";"87.07";"A"
"2012-12";"101.08";"A"
"2012-11";"104.13";"A"
"2012-10";"104.46";"A"
"2012-09";"109.28";"A"
"2012-08";"107.14";"A"
"2012-07";"109.55";"A"
"2012-06";"112.57";"A"
"2012-05";"100.73";"A"
"2012-04";"108.0";"A"
"2012-03";"115.9";"A"
"2012-02";"74.05";"A"
"2012-01";"120.5";"A"
"2011-12";"113.21";"A"
"2011-11";"112.46";"A"
"2011-10";"114.83";"A"
"2011-09";"114.79";"A"
"2011-08";"111.0";"A"
"2011-07";"108.6";"A"
"2011-06";"105.98";"A"
"2011-05";"119.39";"A"
"2011-04";"116.01";"A"
"2011-03";"115.64";"A"
"2011-02";"119.13";"A"
"2011-01";"123.36";"A"
"2010-12";"87.55";"A"
"2010-11";"108.78";"A"
"2010-10";"109.31";"A"
"2010-09";"111.0";"A"
"2010-08";"107.45";"A"
"2010-07";"109.72";"A"
"2010-06";"113.71";"A"
"2010-05";"113.73";"A"
"2010-04";"109.61";"A"
